team,marketValueStatus,marketValueEur,marketValueSourceUrl,transfermarktTeamUrl,squadRatingStatus,squadRatingSource,fallbackRule
Algeria,updated,227750000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/algeria/startseite/verein/3614,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Argentina,updated,761200012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/argentina/startseite/verein/3437,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Australia,updated,51230000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/australia/startseite/verein/3433,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Austria,updated,263399994,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/austria/startseite/verein/3383,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Belgium,updated,534200012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/belgium/startseite/verein/3382,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Bosnia and Herzegovina,updated,125599998,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/bosnia-herzegovina/startseite/verein/3446,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Brazil,updated,778500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/brazil/startseite/verein/3439,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Canada,updated,129380005,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/canada/startseite/verein/3510,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Cape Verde,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
Colombia,updated,300500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/colombia/startseite/verein/3816,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Croatia,updated,283299988,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/croatia/startseite/verein/3556,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Curaçao,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
Czech Republic,updated,171500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/czech-republic/startseite/verein/3445,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
DR Congo,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
Ecuador,updated,366730011,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/ecuador/startseite/verein/5750,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Egypt,updated,108000000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/egypt/startseite/verein/3672,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
England,existing,1350000000,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
France,existing,1230000000,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Germany,updated,773500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/germany/startseite/verein/3262,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Ghana,updated,199279999,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/ghana/startseite/verein/3441,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Haiti,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
Iran,updated,23080000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/iran/startseite/verein/3582,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Iraq,updated,19180000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/iraq/startseite/verein/3560,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Ivory Coast,missing,,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,market value excluded
Japan,updated,264200012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/japan/startseite/verein/3435,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Jordan,updated,15980000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/jordan/startseite/verein/15737,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Mexico,updated,79800003,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/mexico/startseite/verein/6303,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Morocco,updated,456000000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/morocco/startseite/verein/3575,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Netherlands,updated,766000000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/netherlands/startseite/verein/3379,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
New Zealand,updated,22200001,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/new-zealand/startseite/verein/9171,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Norway,updated,504000000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/norway/startseite/verein/3440,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Panama,updated,32400002,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/panama/startseite/verein/3577,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Paraguay,updated,134699997,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/paraguay/startseite/verein/3581,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Portugal,updated,864500000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/portugal/startseite/verein/3300,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Qatar,updated,18299999,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/qatar/startseite/verein/14162,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Saudi Arabia,updated,27629999,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/saudi-arabia/startseite/verein/3807,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Scotland,updated,198149994,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/scotland/startseite/verein/3380,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Senegal,updated,474000000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/senegal/startseite/verein/3499,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
South Africa,updated,41150002,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/south-africa/startseite/verein/3806,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
South Korea,updated,136750000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/south-korea/startseite/verein/3589,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Spain,existing,1080000000,,,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Sweden,updated,363980011,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/sweden/startseite/verein/3557,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Switzerland,updated,322100006,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/switzerland/startseite/verein/3384,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Tunisia,updated,52299999,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/tunisia/startseite/verein/3670,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Turkey,updated,435200012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/turkiye/startseite/verein/3381,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
United States,updated,356700012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/united-states/startseite/verein/3505,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Uruguay,updated,362450012,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/uruguay/startseite/verein/3449,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
Uzbekistan,updated,63750000,https://github.com/dcaribou/transfermarkt-datasets,https://www.transfermarkt.co.uk/uzbekistan/startseite/verein/3563,available,derived proxy: market value + Elo + FIFA + recent form + wc26 profile,
