team,matches,winRate,drawRate,lossRate,goalsForPerMatch,goalsAgainstPerMatch,goalDiffPerMatch,neutralShare,homeLikeWinRate
Isle of Man,13,0.6923,0,0.3077,3.8462,1.3077,2.5385,0.9231,
Jersey,18,0.7778,0.1111,0.1111,2.8333,0.7222,2.1111,0.6111,1
Padania,11,0.5455,0.1818,0.2727,2.8182,0.9091,1.9091,0.9091,
Spain,102,0.6275,0.2843,0.0882,2.3922,0.8039,1.5882,0.2353,0.7143
Japan,108,0.6481,0.1481,0.2037,2.3519,0.7963,1.5556,0.3704,0.6939
Panjab,9,0.3333,0.2222,0.4444,3.1111,1.5556,1.5556,0.7778,
England,106,0.6415,0.1887,0.1698,2.217,0.6698,1.5472,0.2264,0.7037
Belgium,100,0.64,0.19,0.17,2.37,0.86,1.51,0.24,0.7561
Portugal,101,0.6139,0.2277,0.1584,2.2871,0.8218,1.4653,0.2079,0.7442
Ynys Môn,12,0.9167,0,0.0833,2.5,1.0833,1.4167,0.5,1
Argentina,101,0.6931,0.1881,0.1188,2.0396,0.6337,1.4059,0.495,0.8077
Iran,89,0.6629,0.1685,0.1685,2.0674,0.7079,1.3596,0.427,0.8462
Algeria,109,0.6514,0.2294,0.1193,2.1284,0.7706,1.3578,0.422,0.7436
Netherlands,95,0.5789,0.2526,0.1684,2.2947,0.9684,1.3263,0.1579,0.6957
Brazil,99,0.6263,0.2222,0.1515,1.9596,0.6465,1.3131,0.3535,0.7813
Morocco,113,0.6726,0.2212,0.1062,1.823,0.531,1.292,0.3982,0.7818
France,106,0.6604,0.2075,0.1321,2.1415,0.8679,1.2736,0.2925,0.6889
Abkhazia,11,0.5455,0.3636,0.0909,1.9091,0.6364,1.2727,0.9091,
Canada,91,0.5495,0.2198,0.2308,2.0659,0.8901,1.1758,0.4615,0.6667
Norway,81,0.5679,0.2222,0.2099,2.0864,0.9506,1.1358,0.0494,0.6279
Australia,80,0.5875,0.175,0.2375,1.8875,0.7625,1.125,0.4375,0.7143
Guernsey,14,0.5714,0.0714,0.3571,1.9286,0.8571,1.0714,0.2143,0.5
Senegal,107,0.6355,0.243,0.1215,1.7103,0.6449,1.0654,0.514,0.8462
Italy,95,0.5789,0.2421,0.1789,1.9579,0.9158,1.0421,0.1789,0.6136
New Caledonia,32,0.5,0.125,0.375,2.2188,1.1875,1.0313,0.5938,0.6667
Denmark,98,0.5408,0.2551,0.2041,1.8571,0.8265,1.0306,0.1531,0.75
Russia,73,0.5342,0.2466,0.2192,2,0.9863,1.0137,0.0137,0.5814
Ivory Coast,90,0.6,0.2111,0.1889,1.7556,0.7556,1,0.4556,0.8387
Haiti,67,0.5075,0.1791,0.3134,2.2239,1.2388,0.9851,0.5075,0.5714
Germany,97,0.5155,0.2474,0.2371,2.1856,1.2165,0.9691,0.0928,0.5357
United States,123,0.5366,0.1951,0.2683,1.8618,0.9268,0.935,0.0813,0.617
Mali,78,0.5,0.3205,0.1795,1.5128,0.6026,0.9103,0.4615,0.6842
Réunion,9,0.4444,0.3333,0.2222,1.4444,0.5556,0.8889,0.7778,
South Korea,108,0.5556,0.25,0.1944,1.75,0.8981,0.8519,0.3704,0.6383
New Zealand,51,0.451,0.1373,0.4118,1.8039,0.9804,0.8235,0.4902,0.6364
Tahiti,28,0.5,0.1429,0.3571,2.0714,1.25,0.8214,0.7143,0.6667
Austria,91,0.5714,0.1538,0.2747,1.8132,1,0.8132,0.0879,0.6222
Egypt,101,0.5446,0.2772,0.1782,1.5149,0.7228,0.7921,0.396,0.8649
Malaysia,90,0.5444,0.1667,0.2889,1.9444,1.1889,0.7556,0.1667,0.7708
Uzbekistan,87,0.5172,0.2299,0.2529,1.6092,0.8736,0.7356,0.3678,0.7059
Thailand,97,0.4948,0.2474,0.2577,1.7938,1.0928,0.701,0.2474,0.6364
Switzerland,99,0.4343,0.3232,0.2424,1.8283,1.1313,0.697,0.202,0.6
Colombia,95,0.5053,0.3158,0.1789,1.5368,0.8526,0.6842,0.4842,0.4737
Guadeloupe,44,0.5,0.0909,0.4091,1.8182,1.1364,0.6818,0.4318,0.625
Tunisia,112,0.5268,0.2411,0.2321,1.4196,0.7411,0.6786,0.4464,0.7778
Curaçao,59,0.3729,0.2712,0.3559,1.7966,1.1525,0.6441,0.322,0.5238
Suriname,53,0.434,0.2453,0.3208,1.6981,1.0566,0.6415,0.2453,0.6364
Dominican Republic,58,0.4138,0.2241,0.3621,1.8276,1.1897,0.6379,0.1897,0.5333
Western Armenia,11,0.3636,0.2727,0.3636,1.8182,1.1818,0.6364,0.9091,
Saint Barthélemy,8,0.5,0.125,0.375,3,2.375,0.625,0,0.6667
South Africa,99,0.4545,0.3838,0.1616,1.3939,0.798,0.596,0.2222,0.5333
Uruguay,94,0.4681,0.3085,0.2234,1.4043,0.8191,0.5851,0.3723,0.7083
Nigeria,101,0.4851,0.2871,0.2277,1.5248,0.9505,0.5743,0.5446,0.5
Mexico,135,0.5333,0.2222,0.2444,1.5185,0.9481,0.5704,0.6148,0.6522
Croatia,102,0.5098,0.2451,0.2451,1.7157,1.1569,0.5588,0.2745,0.6857
Solomon Islands,44,0.4545,0.1136,0.4318,2.2273,1.7045,0.5227,0.4773,0.6
Turkey,94,0.5106,0.2447,0.2447,1.7872,1.2766,0.5106,0.1277,0.5714
Vietnam,87,0.4943,0.1839,0.3218,1.5747,1.069,0.5057,0.2414,0.6923
Cameroon,85,0.4353,0.3412,0.2235,1.2824,0.7882,0.4941,0.4471,0.6552
Guatemala,92,0.4348,0.25,0.3152,1.5761,1.0978,0.4783,0.4674,0.8077
Burkina Faso,88,0.4773,0.2614,0.2614,1.4205,0.9545,0.4659,0.625,0.6667
Romania,86,0.4535,0.2442,0.3023,1.5581,1.093,0.4651,0.093,0.5238
Székely Land,13,0.3846,0.1538,0.4615,2.3846,1.9231,0.4615,0.7692,1
Serbia,92,0.4674,0.2717,0.2609,1.587,1.1413,0.4457,0.1739,0.5758
Puerto Rico,45,0.4444,0.1333,0.4222,1.9333,1.4889,0.4444,0.2222,0.5789
Jordan,111,0.4595,0.2342,0.3063,1.5045,1.0721,0.4324,0.4685,0.5161
Poland,94,0.4574,0.2234,0.3191,1.6277,1.2128,0.4149,0.1277,0.5714
Greece,82,0.4756,0.1951,0.3293,1.3537,0.939,0.4146,0.0732,0.5526
United Arab Emirates,102,0.4216,0.2549,0.3235,1.4804,1.0686,0.4118,0.3627,0.5532
Iraq,107,0.4673,0.3271,0.2056,1.2991,0.8972,0.4019,0.4579,0.6452
Sweden,100,0.5,0.15,0.35,1.57,1.18,0.39,0.19,0.5909
Czech Republic,90,0.4778,0.1889,0.3333,1.6333,1.2667,0.3667,0.1556,0.641
Fiji,48,0.375,0.25,0.375,1.875,1.5208,0.3542,0.5,0.6364
Qatar,120,0.4833,0.2083,0.3083,1.6083,1.2583,0.35,0.375,0.5714
Jamaica,104,0.4231,0.2692,0.3077,1.4904,1.1442,0.3462,0.3077,0.4375
Kosovo,83,0.4337,0.241,0.3253,1.506,1.1807,0.3253,0.1205,0.475
Bahrain,109,0.4587,0.1927,0.3486,1.3945,1.0734,0.3211,0.3945,0.4667
Slovenia,86,0.3953,0.3488,0.2558,1.3023,1,0.3023,0.0581,0.525
Georgia,84,0.4286,0.2143,0.3571,1.5238,1.2381,0.2857,0.1071,0.475
Cape Verde,72,0.4306,0.3056,0.2639,1.2222,0.9444,0.2778,0.3611,0.55
Ecuador,90,0.3889,0.3667,0.2444,1.1889,0.9111,0.2778,0.4333,0.6667
Shetland,11,0.3636,0.1818,0.4545,2.1818,1.9091,0.2727,0.8182,
Angola,78,0.3718,0.3718,0.2564,1.1282,0.859,0.2692,0.4359,0.5417
French Guiana,34,0.3824,0.2647,0.3529,1.5294,1.2647,0.2647,0.2353,0.4545
DR Congo,82,0.378,0.3415,0.2805,1.1098,0.8537,0.2561,0.4146,0.55
Oman,106,0.4434,0.283,0.2736,1.1415,0.8962,0.2453,0.5,0.6
Slovakia,89,0.4157,0.236,0.3483,1.382,1.1573,0.2247,0.1573,0.4737
Guyana,56,0.4643,0.1071,0.4286,1.9286,1.7143,0.2143,0.4107,0.6667
Wales,87,0.4023,0.2989,0.2989,1.2759,1.0805,0.1954,0.1034,0.5227
Ghana,77,0.3896,0.2857,0.3247,1.2857,1.0909,0.1948,0.4026,0.7391
Nicaragua,73,0.3699,0.2055,0.4247,1.4795,1.3151,0.1644,0.1644,0.5
Ukraine,89,0.4494,0.2921,0.2584,1.4494,1.2921,0.1573,0.3258,0.5789
Tamil Eelam,13,0.6154,0,0.3846,2.0769,1.9231,0.1538,0.9231,
North Macedonia,84,0.4048,0.2738,0.3214,1.4167,1.2738,0.1429,0.119,0.5263
Saudi Arabia,125,0.408,0.24,0.352,1.184,1.048,0.136,0.496,0.5526
Gambia,62,0.371,0.2742,0.3548,1.3387,1.2097,0.129,0.5806,0.3333
Hungary,88,0.4318,0.2386,0.3295,1.3295,1.2159,0.1136,0.0227,0.4792
Tajikistan,66,0.3485,0.2576,0.3939,1.2273,1.1515,0.0758,0.4091,0.5385
China PR,74,0.3649,0.2162,0.4189,1.3243,1.2568,0.0676,0.3649,0.52
Guinea,77,0.3636,0.2727,0.3636,1.1688,1.1039,0.0649,0.6234,0.625
Gabon,63,0.4127,0.2381,0.3492,1.3333,1.2698,0.0635,0.3968,0.5714
Papua New Guinea,33,0.4242,0.2424,0.3333,1.6667,1.6061,0.0606,0.6061,0.4
Scotland,88,0.4318,0.1818,0.3864,1.3864,1.3409,0.0455,0.0795,0.5
Costa Rica,110,0.3636,0.2636,0.3727,1.3182,1.2909,0.0273,0.4,0.5517
Panama,117,0.4103,0.2222,0.3675,1.4103,1.3846,0.0256,0.3248,0.5161
Indonesia,89,0.3933,0.2022,0.4045,1.6404,1.6292,0.0112,0.2809,0.475
Syria,90,0.3333,0.2333,0.4333,1.2667,1.2889,-0.0222,0.6333,
Albania,83,0.3855,0.2048,0.4096,1.0964,1.1205,-0.0241,0.1446,0.4737
Republic of Ireland,81,0.3086,0.321,0.3704,1.0494,1.0741,-0.0247,0.037,0.381
India,72,0.2917,0.3194,0.3889,1.125,1.1528,-0.0278,0.3333,0.3929
Finland,90,0.4111,0.1333,0.4556,1.2,1.2333,-0.0333,0.1222,0.5429
Rwanda,55,0.2727,0.3091,0.4182,0.9273,0.9818,-0.0545,0.1273,0.3333
Trinidad and Tobago,86,0.314,0.3023,0.3837,1.4535,1.5116,-0.0581,0.2558,0.5385
Libya,61,0.3443,0.2623,0.3934,1.1311,1.2131,-0.082,0.3443,0.3529
Kenya,65,0.3385,0.3231,0.3385,1.1538,1.2462,-0.0923,0.4154,0.4762
Israel,75,0.3733,0.2,0.4267,1.64,1.7467,-0.1067,0.1733,0.52
Uganda,77,0.3506,0.2597,0.3896,0.9221,1.039,-0.1169,0.3766,0.6
Benin,68,0.3382,0.2794,0.3824,1,1.1176,-0.1176,0.5294,0.3846
Lebanon,75,0.2933,0.24,0.4667,0.9733,1.0933,-0.12,0.48,0.3
Chile,90,0.3111,0.2778,0.4111,1.1444,1.2667,-0.1222,0.3222,0.5
Kyrgyzstan,64,0.3438,0.1719,0.4844,1.4531,1.5781,-0.125,0.3438,0.5
Venezuela,81,0.3333,0.2469,0.4198,1.1605,1.2963,-0.1358,0.3827,0.45
Honduras,92,0.3261,0.25,0.4239,1.2065,1.3478,-0.1413,0.3696,0.5926
Zambia,87,0.3793,0.2184,0.4023,1.2874,1.4368,-0.1494,0.3563,0.5238
Equatorial Guinea,70,0.3429,0.2714,0.3857,0.9857,1.1429,-0.1571,0.3714,0.52
El Salvador,100,0.34,0.24,0.42,1.03,1.19,-0.16,0.39,0.4815
Kuwait,88,0.3068,0.2727,0.4205,1.2273,1.3977,-0.1705,0.3636,0.3333
Madagascar,72,0.3056,0.2917,0.4028,1.1528,1.3333,-0.1806,0.5278,0.375
Hong Kong,66,0.303,0.2121,0.4848,1.2576,1.4394,-0.1818,0.2727,0.4615
Peru,96,0.3229,0.2396,0.4375,0.9479,1.1458,-0.1979,0.3438,0.4194
Vanuatu,35,0.3143,0.1429,0.5429,1.7714,1.9714,-0.2,0.4857,0.4
Palestine,73,0.274,0.3151,0.411,1.0274,1.2329,-0.2055,0.5205,0.5
Togo,57,0.2281,0.4035,0.3684,0.9825,1.193,-0.2105,0.3158,0.1818
Comoros,85,0.3294,0.2353,0.4353,1.1529,1.3647,-0.2118,0.5882,0.5882
Northern Ireland,79,0.3291,0.2025,0.4684,1.0633,1.2785,-0.2152,0.038,0.4286
Mozambique,82,0.3171,0.2683,0.4146,1.0854,1.3171,-0.2317,0.4756,0.381
Zimbabwe,66,0.1818,0.4394,0.3788,0.9091,1.1667,-0.2576,0.5455,0.2
Saint Vincent and the Grenadines,58,0.3966,0.1724,0.431,1.5517,1.8103,-0.2586,0.1724,0.4783
Philippines,67,0.3134,0.209,0.4776,1.3134,1.597,-0.2836,0.3134,0.4286
Bosnia and Herzegovina,82,0.2927,0.2805,0.4268,1.0976,1.3902,-0.2927,0.0244,0.3846
Saint Martin,34,0.4118,0.0588,0.5294,1.7941,2.0882,-0.2941,0.4706,1
Namibia,71,0.2958,0.2817,0.4225,0.9155,1.2113,-0.2958,0.5352,0.5556
Tanzania,74,0.2568,0.2703,0.473,0.8243,1.1216,-0.2973,0.3514,0.4167
Saint Kitts and Nevis,56,0.375,0.1607,0.4643,1.5357,1.8393,-0.3036,0.2321,0.375
Singapore,76,0.3816,0.2105,0.4079,1.3947,1.7105,-0.3158,0.1447,0.475
Ethiopia,57,0.2456,0.2982,0.4561,1,1.3158,-0.3158,0.3509,0.4
Paraguay,79,0.2658,0.3291,0.4051,0.8987,1.2152,-0.3165,0.2532,0.4762
Botswana,71,0.3099,0.2113,0.4789,0.8451,1.169,-0.3239,0.338,0.3913
Malawi,79,0.2658,0.3165,0.4177,0.7975,1.1266,-0.3291,0.481,0.3889
Burundi,51,0.2353,0.2941,0.4706,1.1176,1.451,-0.3333,0.5098,0.1429
Martinique,40,0.3,0.275,0.425,1.175,1.525,-0.35,0.35,0.4167
Orkney,11,0.4545,0.0909,0.4545,1.7273,2.0909,-0.3636,0.5455,0.75
Montenegro,82,0.3171,0.2317,0.4512,1.0732,1.439,-0.3659,0.0366,0.3556
Mauritania,79,0.2911,0.2658,0.443,0.8101,1.2152,-0.4051,0.3924,0.52
Iceland,101,0.2772,0.2475,0.4752,1.3168,1.7228,-0.4059,0.2475,0.3226
Belize,51,0.3529,0.1373,0.5098,1.1961,1.6275,-0.4314,0.1569,0.4583
Guinea-Bissau,62,0.2419,0.2742,0.4839,0.9355,1.4032,-0.4677,0.4032,0.4706
Sierra Leone,51,0.2353,0.3529,0.4118,0.9804,1.4706,-0.4902,0.5882,0.3333
North Korea,38,0.2895,0.2368,0.4737,1.1842,1.6842,-0.5,0.4211,0.6667
Kazakhstan,80,0.325,0.1625,0.5125,1.0875,1.6,-0.5125,0.1,0.4
Saint Lucia,39,0.4103,0.1282,0.4615,1.1795,1.6923,-0.5128,0.2564,0.5714
Sudan,74,0.2432,0.2973,0.4595,0.7703,1.2838,-0.5135,0.4865,0.5
Mauritius,52,0.2308,0.2308,0.5385,0.8269,1.3462,-0.5192,0.3462,0.2778
Niger,66,0.2576,0.2121,0.5303,1.1212,1.6515,-0.5303,0.5303,0.4167
Belarus,81,0.2963,0.2346,0.4691,0.9877,1.5185,-0.5309,0.284,0.3889
Cuba,68,0.3382,0.1618,0.5,1.25,1.7941,-0.5441,0.2647,0.6923
Bermuda,54,0.3148,0.1481,0.537,1.6852,2.2407,-0.5556,0.3148,0.3684
Bangladesh,70,0.2714,0.2857,0.4429,0.8286,1.4143,-0.5857,0.2714,0.3846
Bulgaria,81,0.2222,0.321,0.4568,0.9753,1.5679,-0.5926,0.0741,0.2857
Turkmenistan,37,0.2973,0.1622,0.5405,1.1081,1.7027,-0.5946,0.3514,0.5556
Montserrat,36,0.3611,0.1389,0.5,1.1389,1.75,-0.6111,0.4722,0.5
Central African Republic,51,0.2549,0.2157,0.5294,1.1176,1.7451,-0.6275,0.451,0.25
Liberia,57,0.2281,0.2105,0.5614,0.807,1.4561,-0.6491,0.2982,0.4706
Eswatini,63,0.1587,0.3492,0.4921,0.8413,1.5238,-0.6825,0.4921,0
Dominica,40,0.275,0.225,0.5,1.075,1.775,-0.7,0.35,0.4545
Bonaire,30,0.3333,0.1333,0.5333,1.4,2.1,-0.7,0.5667,0.2857
Luxembourg,81,0.2593,0.1975,0.5432,0.8765,1.5926,-0.716,0.037,0.2558
Maldives,50,0.3,0.12,0.58,1.1,1.82,-0.72,0.4,0.4615
Azerbaijan,83,0.2169,0.241,0.5422,0.9157,1.6386,-0.7229,0.1325,0.2162
Latvia,83,0.1928,0.3012,0.506,0.8675,1.5904,-0.7229,0.0602,0.2368
Lesotho,68,0.2059,0.3235,0.4706,0.6765,1.4118,-0.7353,0.5147,0.125
Yemen,48,0.2083,0.2292,0.5625,1.0625,1.8125,-0.75,0.6875,
Faroe Islands,79,0.2405,0.2025,0.557,0.8861,1.6835,-0.7975,0.0759,0.3438
Western Isles,10,0.3,0.1,0.6,1.1,1.9,-0.8,0.8,
Aruba,38,0.2895,0.1316,0.5789,1.3947,2.2105,-0.8158,0.5,0.3333
Congo,42,0.1667,0.3095,0.5238,0.881,1.7143,-0.8333,0.2619,0.3125
Barbados,58,0.2241,0.2069,0.569,1.2586,2.1207,-0.8621,0.2759,0.3158
Matabeleland,8,0.375,0.25,0.375,0.875,1.75,-0.875,1,
Grenada,56,0.2857,0.1964,0.5179,1.1964,2.1071,-0.9107,0.1786,0.4231
Armenia,79,0.2532,0.2152,0.5316,1.1266,2.0633,-0.9367,0.0633,0.3714
Afghanistan,38,0.1842,0.3158,0.5,0.7632,1.7368,-0.9737,0.5526,
Bolivia,88,0.2159,0.1477,0.6364,0.9318,1.9205,-0.9886,0.2386,0.4615
Nepal,66,0.2576,0.197,0.5455,0.7424,1.7424,-1,0.303,0.5
Estonia,91,0.1978,0.2198,0.5824,0.8132,1.8462,-1.033,0.1099,0.2222
South Sudan,49,0.1633,0.2041,0.6327,0.6327,1.6939,-1.0612,0.3878,0.1
Cyprus,80,0.2,0.1875,0.6125,0.9,1.9875,-1.0875,0.0125,0.25
Sri Lanka,49,0.1837,0.2245,0.5918,0.7551,1.8571,-1.102,0.2653,0.2778
Mongolia,37,0.2432,0.1081,0.6486,1.027,2.1351,-1.1081,0.1892,0.5
Cambodia,58,0.2414,0.1724,0.5862,1.1207,2.2586,-1.1379,0.2414,0.3462
Chad,36,0.0833,0.25,0.6667,0.5278,1.6944,-1.1667,0.4722,0.125
Malta,79,0.2278,0.1899,0.5823,0.7975,1.9747,-1.1772,0.1013,0.3023
Lithuania,85,0.1529,0.2,0.6471,0.6588,1.8941,-1.2353,0.0235,0.1053
Antigua and Barbuda,44,0.2727,0.1364,0.5909,1.1136,2.3864,-1.2727,0.2727,0.2778
Samoa,17,0.4118,0,0.5882,1.6471,2.9412,-1.2941,0.4118,0.6
Andorra,81,0.1111,0.2346,0.6543,0.4198,1.7531,-1.3333,0.1111,0.1714
Cayman Islands,36,0.2778,0.1944,0.5278,0.8611,2.1944,-1.3333,0.1389,0.4444
Moldova,86,0.186,0.1977,0.6163,0.686,2.0233,-1.3372,0.1279,0.2632
Taiwan,46,0.2391,0.087,0.6739,1.0435,2.3913,-1.3478,0.1522,0.3
Somalia,22,0.0909,0.1364,0.7727,0.5,1.9091,-1.4091,0.6364,
Guam,24,0.1667,0.0833,0.75,1.0417,2.4583,-1.4167,0.375,0.25
British Virgin Islands,37,0.1351,0.2432,0.6216,1.0541,2.5135,-1.4595,0.3784,0.1429
Sint Maarten,35,0.3143,0.1714,0.5143,1.5714,3.0571,-1.4857,0.6,0
United States Virgin Islands,34,0.1471,0.1765,0.6765,0.9118,2.4412,-1.5294,0.2941,0.0769
Laos,41,0.122,0.1951,0.6829,0.8537,2.4634,-1.6098,0.1707,0.2
Myanmar,66,0.2121,0.1667,0.6212,0.8788,2.5758,-1.697,0.2576,0.4
Macau,20,0.1,0.1,0.8,0.45,2.25,-1.8,0.3,0.1429
Djibouti,30,0.1333,0.2,0.6667,0.7667,2.5667,-1.8,0.6,0.6667
Pakistan,29,0.1034,0.1034,0.7931,0.4138,2.2759,-1.8621,0.3793,0.1667
Bahamas,39,0.1795,0.1538,0.6667,1.1282,3.0256,-1.8974,0.2821,0.3571
São Tomé and Príncipe,31,0.0968,0.129,0.7742,0.7097,2.6774,-1.9677,0.3548,0.25
Brunei,32,0.3125,0.0313,0.6563,0.8438,2.8438,-2,0.2813,0.5714
Liechtenstein,77,0.0649,0.1299,0.8052,0.3506,2.6494,-2.2987,0.1429,0.0667
Gibraltar,75,0.12,0.1467,0.7333,0.4133,2.7467,-2.3333,0.12,0.2258
Bhutan,27,0.1481,0.0741,0.7778,0.4444,2.8148,-2.3704,0.3704,0.6
Timor-Leste,34,0.1471,0.0588,0.7941,0.7941,3.1765,-2.3824,0.3529,
Turks and Caicos Islands,33,0.2727,0.1515,0.5758,1.1515,3.5455,-2.3939,0.2727,0.3077
Barawa,10,0.3,0,0.7,1.4,3.8,-2.4,0,0.3333
Seychelles,50,0.04,0.26,0.7,0.44,2.88,-2.44,0.58,0
Tibet,10,0,0.2,0.8,1.6,4.1,-2.5,0.9,
Cook Islands,10,0.2,0,0.8,0.5,3.3,-2.8,0.7,
Northern Mariana Islands,9,0.2222,0.2222,0.5556,1.1111,4,-2.8889,0.6667,0.5
San Marino,76,0.0263,0.0921,0.8816,0.25,3.1974,-2.9474,0.0526,0.0286
Anguilla,40,0.1,0.15,0.75,0.5,3.6,-3.1,0.3,0
Tonga,11,0.1818,0,0.8182,1.0909,4.2727,-3.1818,0.6364,0
Saint Helena,8,0,0,1,0.75,5.125,-4.375,0.875,
Tuvalu,14,0.1429,0.0714,0.7857,1,5.4286,-4.4286,1,
American Samoa,12,0,0.0833,0.9167,0.5,6.6667,-6.1667,0.8333,
